Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject,GenBank_Title
OP376516,Coxsackievirus B4,NA,"Xiao,J., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-02-21,LYLS216-SD-CHN-2010,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6549,GenBank,partial,CVB4,NA,NA,China,China,NA,Homo sapiens,NA,2010,NA,NA,"Coxsackievirus B4 isolate LYLS216-SD-CHN-2010 polyprotein gene, partial cds"
OP376517,Coxsackievirus B4,NA,"Xiao,J., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-02-21,LYLS258-SD-CHN-2010,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6549,GenBank,partial,CVB4,NA,NA,China,China,NA,Homo sapiens,NA,2010,NA,NA,"Coxsackievirus B4 isolate LYLS258-SD-CHN-2010 polyprotein gene, partial cds"
OP376518,Coxsackievirus B4,NA,"Xiao,J., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-02-21,LYLS328-SD-CHN-2010,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6549,GenBank,partial,CVB4,NA,NA,China,China,NA,Homo sapiens,NA,2010,NA,NA,"Coxsackievirus B4 isolate LYLS328-SD-CHN-2010 polyprotein gene, partial cds"
OP376519,Coxsackievirus B4,NA,"Xiao,J., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-02-21,LYLS332-SD-CHN-2010,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6549,GenBank,partial,CVB4,NA,NA,China,China,NA,Homo sapiens,NA,2010,NA,NA,"Coxsackievirus B4 isolate LYLS332-SD-CHN-2010 polyprotein gene, partial cds"
OP376520,Coxsackievirus B4,NA,"Xiao,J., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-02-21,LYLS345-SD-CHN-2010,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6549,GenBank,partial,CVB4,NA,NA,China,China,NA,Homo sapiens,NA,2010,NA,NA,"Coxsackievirus B4 isolate LYLS345-SD-CHN-2010 polyprotein gene, partial cds"
OP376521,Coxsackievirus B4,NA,"Xiao,J., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-02-21,LYLS359-SD-CHN-2010-NEW,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6549,GenBank,partial,CVB4,NA,NA,China,China,NA,Homo sapiens,NA,2010,NA,NA,"Coxsackievirus B4 isolate LYLS359-SD-CHN-2010-NEW polyprotein gene, partial cds"
OP376522,Coxsackievirus B4,NA,"Xiao,J., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-02-21,LYLS361-SD-CHN-2010,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6549,GenBank,partial,CVB4,NA,NA,China,China,NA,Homo sapiens,NA,2010,NA,NA,"Coxsackievirus B4 isolate LYLS361-SD-CHN-2010 polyprotein gene, partial cds"
OP376523,Coxsackievirus B4,NA,"Xiao,J., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-02-21,LYLS365-SD-CHN-2010,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6549,GenBank,partial,CVB4,NA,NA,China,China,NA,Homo sapiens,NA,2010,NA,NA,"Coxsackievirus B4 isolate LYLS365-SD-CHN-2010 polyprotein gene, partial cds"
OP376524,Coxsackievirus B4,NA,"Xiao,J., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-02-21,LYLS369-SD-CHN-2010,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6549,GenBank,partial,CVB4,NA,NA,China,China,NA,Homo sapiens,NA,2010,NA,NA,"Coxsackievirus B4 isolate LYLS369-SD-CHN-2010 polyprotein gene, partial cds"
OP376525,Coxsackievirus B4,NA,"Xiao,J., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-02-21,LYLS372-SD-CHN-2010,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6549,GenBank,partial,CVB4,NA,NA,China,China,NA,Homo sapiens,NA,2010,NA,NA,"Coxsackievirus B4 isolate LYLS372-SD-CHN-2010 polyprotein gene, partial cds"
OP376526,Coxsackievirus B4,NA,"Xiao,J., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-02-21,LYLS390-SD-CHN-2010,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6549,GenBank,partial,CVB4,NA,NA,China,China,NA,Homo sapiens,NA,2010,NA,NA,"Coxsackievirus B4 isolate LYLS390-SD-CHN-2010 polyprotein gene, partial cds"
OP376527,Coxsackievirus B4,NA,"Xiao,J., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-02-21,LYLS413-SD-CHN-2010,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6549,GenBank,partial,CVB4,NA,NA,China,China,NA,Homo sapiens,NA,2010,NA,NA,"Coxsackievirus B4 isolate LYLS413-SD-CHN-2010 polyprotein gene, partial cds"
OP376528,Coxsackievirus B4,NA,"Xiao,J., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-02-21,LYLS436-SD-CHN-2010,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6549,GenBank,partial,CVB4,NA,NA,China,China,NA,Homo sapiens,NA,2010,NA,NA,"Coxsackievirus B4 isolate LYLS436-SD-CHN-2010 polyprotein gene, partial cds"
ON380663,Echovirus E11,NA,"Heim,A., Cordes,A.K., Werlein,C., Steinbruck,L.","Hannover Medical School, Institute of Virology",Germany,2023-02-07,EchoE11_Han2020,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7417,GenBank,partial,NA,NA,NA,Germany,Germany,NA,Homo sapiens,NA,2020,NA,NA,"Echovirus E11 isolate EchoE11_Han2020 polyprotein gene, complete cds"
ON152867,Coxsackievirus B5,NA,"Suo,J.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Kunming Medical University",China,2023-01-31,SJ00034,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7205,GenBank,partial,NA,NA,NA,China,China,NA,Homo sapiens,"lung, oronasopharynx",2021-09,NA,NA,"Coxsackievirus B5 isolate SJ00034 polyprotein gene, complete cds"
ON152868,Coxsackievirus B5,NA,"Suo,J.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Kunming Medical University",China,2023-01-31,SJ00040,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7363,GenBank,partial,NA,NA,NA,China,China,NA,Homo sapiens,"lung, oronasopharynx",2021-09,NA,NA,"Coxsackievirus B5 isolate SJ00040 polyprotein gene, complete cds"
ON152869,Coxsackievirus B5,NA,"Suo,J.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Kunming Medical University",China,2023-01-31,SJ00035,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7157,GenBank,partial,NA,NA,NA,China,China,NA,Homo sapiens,"lung, oronasopharynx",2021-09,NA,NA,"Coxsackievirus B5 isolate SJ00035 polyprotein gene, complete cds"
ON152870,Coxsackievirus B5,NA,"Suo,J.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Kunming Medical University",China,2023-01-31,SJ00041,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7124,GenBank,partial,NA,NA,NA,China,China,NA,Homo sapiens,"lung, oronasopharynx",2021-09,NA,NA,"Coxsackievirus B5 isolate SJ00041 polyprotein gene, complete cds"
ON152871,Coxsackievirus B5,NA,"Suo,J.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Kunming Medical University",China,2023-01-31,SJ00048,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7204,GenBank,partial,NA,NA,NA,China,China,NA,Homo sapiens,"lung, oronasopharynx",2021-09,NA,NA,"Coxsackievirus B5 isolate SJ00048 polyprotein gene, complete cds"
OP207959,Echovirus E6,NA,"Fall,A., Forman,M., Morris,C., Gniazdowski,V., Luo,C.H., Hanlon,A., Miller,H.H., Bergman,Y., Mostafa,H.H.","Johns Hopkins School of Medicine, Molecular Virology",USA,2023-01-28,JH-396/2015,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7192,GenBank,complete,NA,NA,NA,USA,USA,NA,Homo sapiens,cerebrospinal fluid,2015-08-13,NA,NA,"Echovirus E6 isolate JH-396/2015, complete genome"
OP207960,Coxsackievirus B5,NA,"Fall,A., Forman,M., Morris,C., Gniazdowski,V., Luo,C.H., Hanlon,A., Miller,H.H., Bergman,Y., Mostafa,H.H.","Johns Hopkins School of Medicine, Molecular Virology",USA,2023-01-28,JH-865A/2015,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7184,GenBank,complete,NA,NA,NA,USA,USA,NA,Homo sapiens,cerebrospinal fluid,2015-08-19,NA,NA,"Coxsackievirus B5 isolate JH-865A/2015, complete genome"
OP207961,Echovirus E30,NA,"Fall,A., Forman,M., Morris,C., Gniazdowski,V., Luo,C.H., Hanlon,A., Miller,H.H., Bergman,Y., Mostafa,H.H.","Johns Hopkins School of Medicine, Molecular Virology",USA,2023-01-28,JH-865B/2015,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7206,GenBank,complete,NA,NA,NA,USA,USA,NA,Homo sapiens,cerebrospinal fluid,2015-08-19,NA,NA,"Echovirus E30 isolate JH-865B/2015, complete genome"
OP207962,Echovirus E30,NA,"Fall,A., Forman,M., Morris,C., Gniazdowski,V., Luo,C.H., Hanlon,A., Miller,H.H., Bergman,Y., Mostafa,H.H.","Johns Hopkins School of Medicine, Molecular Virology",USA,2023-01-28,JH-636/2015,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7272,GenBank,complete,NA,NA,NA,USA,USA,NA,Homo sapiens,cerebrospinal fluid,2015-10-19,NA,NA,"Echovirus E30 isolate JH-636/2015, complete genome"
OP207963,Echovirus E9,NA,"Fall,A., Forman,M., Morris,C., Gniazdowski,V., Luo,C.H., Hanlon,A., Miller,H.H., Bergman,Y., Mostafa,H.H.","Johns Hopkins School of Medicine, Molecular Virology",USA,2023-01-28,JH-983/2016,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7191,GenBank,complete,NA,NA,NA,USA,USA,NA,Homo sapiens,cerebrospinal fluid,2016-06-07,NA,NA,"Echovirus E9 isolate JH-983/2016, complete genome"
OP207964,Coxsackievirus B5,NA,"Fall,A., Forman,M., Morris,C., Gniazdowski,V., Luo,C.H., Hanlon,A., Miller,H.H., Bergman,Y., Mostafa,H.H.","Johns Hopkins School of Medicine, Molecular Virology",USA,2023-01-28,JH-804/2016,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7184,GenBank,complete,NA,NA,NA,USA,USA,NA,Homo sapiens,cerebrospinal fluid,2016-08-14,NA,NA,"Coxsackievirus B5 isolate JH-804/2016, complete genome"
OP207965,Coxsackievirus B5,NA,"Fall,A., Forman,M., Morris,C., Gniazdowski,V., Luo,C.H., Hanlon,A., Miller,H.H., Bergman,Y., Mostafa,H.H.","Johns Hopkins School of Medicine, Molecular Virology",USA,2023-01-28,JH-594/2016,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7134,GenBank,complete,NA,NA,NA,USA,USA,NA,Homo sapiens,cerebrospinal fluid,2016-09-13,NA,NA,"Coxsackievirus B5 isolate JH-594/2016, complete genome"
OP207966,Coxsackievirus A9,NA,"Fall,A., Forman,M., Morris,C., Gniazdowski,V., Luo,C.H., Hanlon,A., Miller,H.H., Bergman,Y., Mostafa,H.H.","Johns Hopkins School of Medicine, Molecular Virology",USA,2023-01-28,JH-315/2016,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7170,GenBank,complete,NA,NA,NA,USA,USA,NA,Homo sapiens,cerebrospinal fluid,2016-10-25,NA,NA,"Coxsackievirus A9 isolate JH-315/2016, complete genome"
OP207967,Echovirus E6,NA,"Fall,A., Forman,M., Morris,C., Gniazdowski,V., Luo,C.H., Hanlon,A., Miller,H.H., Bergman,Y., Mostafa,H.H.","Johns Hopkins School of Medicine, Molecular Virology",USA,2023-01-28,JH-182/2017,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7058,GenBank,complete,NA,NA,NA,USA,USA,NA,Homo sapiens,cerebrospinal fluid,2017-09-25,NA,NA,"Echovirus E6 isolate JH-182/2017, complete genome"
OP207968,Echovirus E6,NA,"Fall,A., Forman,M., Morris,C., Gniazdowski,V., Luo,C.H., Hanlon,A., Miller,H.H., Bergman,Y., Mostafa,H.H.","Johns Hopkins School of Medicine, Molecular Virology",USA,2023-01-28,JH-959/2017,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7219,GenBank,complete,NA,NA,NA,USA,USA,NA,Homo sapiens,cerebrospinal fluid,2017-09-14,NA,NA,"Echovirus E6 isolate JH-959/2017, complete genome"
OP207971,Echovirus E3,NA,"Fall,A., Forman,M., Morris,C., Gniazdowski,V., Luo,C.H., Hanlon,A., Miller,H.H., Bergman,Y., Mostafa,H.H.","Johns Hopkins School of Medicine, Molecular Virology",USA,2023-01-28,JH-114/2019,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7223,GenBank,complete,NA,NA,NA,USA,USA,NA,Homo sapiens,blood,2019-08-02,NA,NA,"Echovirus E3 isolate JH-114/2019, complete genome"
ON129560,Echovirus E30,NA,"Zheng,H., Liu,H., Hu,J.",Guangdong Provincial Center for Disease Control and Prevention,China,2023-01-25,A538/GD/CHN/2009,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7425,GenBank,complete,E30,NA,NA,China,China,NA,Homo sapiens,feces,2009,NA,NA,"Echovirus E30 isolate A538/GD/CHN/2009, complete genome"
OP672300,Coxsackievirus B5,NA,"He,Y., Wei,H., Wei,L., Fan,H., Yan,D., Zhao,H., Zhu,S., Ji,T., Xiao,J., Lu,H., Wang,W., Guo,Q., Yang,Q., Xing,W., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-01-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7418,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,feces,2010-05-01,NA,NA,"Coxsackievirus B5 strain 10081/HuN/CHN/2010, complete genome"
OP672301,Coxsackievirus B5,NA,"He,Y., Wei,H., Wei,L., Fan,H., Yan,D., Zhao,H., Zhu,S., Ji,T., Xiao,J., Lu,H., Wang,W., Guo,Q., Yang,Q., Xing,W., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-01-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7414,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,feces,2013-07-13,NA,NA,"Coxsackievirus B5 strain 13351/HB/CHN/2013, complete genome"
OP672302,Coxsackievirus B5,NA,"He,Y., Wei,H., Wei,L., Fan,H., Yan,D., Zhao,H., Zhu,S., Ji,T., Xiao,J., Lu,H., Wang,W., Guo,Q., Yang,Q., Xing,W., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-01-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7415,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,feces,2014-09-16,NA,NA,"Coxsackievirus B5 strain 14050/JS/CHN/2014, complete genome"
OP672303,Coxsackievirus B5,NA,"He,Y., Wei,H., Wei,L., Fan,H., Yan,D., Zhao,H., Zhu,S., Ji,T., Xiao,J., Lu,H., Wang,W., Guo,Q., Yang,Q., Xing,W., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-01-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7409,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,feces,2015-06-04,NA,NA,"Coxsackievirus B5 strain 15514/GS/CHN/2015, complete genome"
OP672304,Coxsackievirus B5,NA,"He,Y., Wei,H., Wei,L., Fan,H., Yan,D., Zhao,H., Zhu,S., Ji,T., Xiao,J., Lu,H., Wang,W., Guo,Q., Yang,Q., Xing,W., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-01-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7400,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,feces,2016-07-14,NA,NA,"Coxsackievirus B5 strain 16074/XJ/CHN/2016, complete genome"
OP672305,Coxsackievirus B5,NA,"He,Y., Wei,H., Wei,L., Fan,H., Yan,D., Zhao,H., Zhu,S., Ji,T., Xiao,J., Lu,H., Wang,W., Guo,Q., Yang,Q., Xing,W., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-01-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7396,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,oronasopharynx,2017-01-01,NA,NA,"Coxsackievirus B5 strain 17041/JS/CHN/2017, complete genome"
OP672306,Coxsackievirus B5,NA,"He,Y., Wei,H., Wei,L., Fan,H., Yan,D., Zhao,H., Zhu,S., Ji,T., Xiao,J., Lu,H., Wang,W., Guo,Q., Yang,Q., Xing,W., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-01-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7397,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,NA,2017-07-24,NA,NA,"Coxsackievirus B5 strain 17019/JL/CHN/2017, complete genome"
OP672307,Coxsackievirus B5,NA,"He,Y., Wei,H., Wei,L., Fan,H., Yan,D., Zhao,H., Zhu,S., Ji,T., Xiao,J., Lu,H., Wang,W., Guo,Q., Yang,Q., Xing,W., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-01-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7414,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,feces,2017-09-28,NA,NA,"Coxsackievirus B5 strain 17186/XJ/CHN/2017, complete genome"
OP672308,Coxsackievirus B5,NA,"He,Y., Wei,H., Wei,L., Fan,H., Yan,D., Zhao,H., Zhu,S., Ji,T., Xiao,J., Lu,H., Wang,W., Guo,Q., Yang,Q., Xing,W., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-01-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7396,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,oronasopharynx,2018-05-31,NA,NA,"Coxsackievirus B5 strain 18054/QH/CHN/2018, complete genome"
OP672309,Coxsackievirus B5,NA,"He,Y., Wei,H., Wei,L., Fan,H., Yan,D., Zhao,H., Zhu,S., Ji,T., Xiao,J., Lu,H., Wang,W., Guo,Q., Yang,Q., Xing,W., Zhang,Y.","Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention",China,2023-01-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7409,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,NA,NA,NA,NA,"Coxsackievirus B5 strain 18043/CQ/CHN/2018, complete genome"
MW481633,Echovirus E16,NA,"Guo,W., Ma,S.","Institute of Medical Biology, Chinese Academy of Medical Science, Genetic Laboratory",China,2023-01-23,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7432,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,feces,2010-06-17,NA,NA,"Echovirus E16 strain 510/YN/CHN/2010, complete genome"
MW481634,Echovirus E18,NA,"Zhang,M., Ma,S.","Chinese Academy of Medical Sciences Peking Union Medical College Kunming, Chinese Academy of Medical Sciences Peking Union Medical College Kunming",China,2023-01-23,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7417,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,feces,2019,NA,NA,"Echovirus E18 strain K88R3-19/YN/CHN/2019, complete genome"
ON873778,Echovirus E33,NA,"Wang,W., Fan,H., Zhou,S., Li,S., Nigedeli,A., Zhang,Y., Sun,Q., He,Y., Guo,Q., Wang,X., Lu,H., Xiao,J., Zhao,H., Han,Z., Ji,T., Zhang,L., Yan,D.","Chinese Center for Disease Control and Prevention, Virus Disease Department",China,2023-01-15,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7394,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,oronasopharynx,2013-06-26,NA,NA,"Echovirus E33 strain 13019/HuN/CHN/2013, complete genome"
ON873779,Echovirus E33,NA,"Wang,W., Fan,H., Zhou,S., Li,S., Nigedeli,A., Zhang,Y., Sun,Q., He,Y., Guo,Q., Wang,X., Lu,H., Xiao,J., Zhao,H., Han,Z., Ji,T., Zhang,L., Yan,D.","Chinese Center for Disease Control and Prevention, Virus Disease Department",China,2023-01-15,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7394,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,oronasopharynx,2013-06-21,NA,NA,"Echovirus E33 strain 13037/HuN/CHN/2013, complete genome"
ON873780,Echovirus E33,NA,"Wang,W., Fan,H., Zhou,S., Li,S., Nigedeli,A., Zhang,Y., Sun,Q., He,Y., Guo,Q., Wang,X., Lu,H., Xiao,J., Zhao,H., Han,Z., Ji,T., Zhang,L., Yan,D.","Chinese Center for Disease Control and Prevention, Virus Disease Department",China,2023-01-15,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7391,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,oronasopharynx,2013-03-13,NA,NA,"Echovirus E33 strain 15087/JS/CHN/2015, complete genome"
ON873781,Echovirus E33,NA,"Wang,W., Fan,H., Zhou,S., Li,S., Nigedeli,A., Zhang,Y., Sun,Q., He,Y., Guo,Q., Wang,X., Lu,H., Xiao,J., Zhao,H., Han,Z., Ji,T., Zhang,L., Yan,D.","Chinese Center for Disease Control and Prevention, Virus Disease Department",China,2023-01-15,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7394,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,oronasopharynx,2013-04-15,NA,NA,"Echovirus E33 strain 15088/JS/CHN/2015, complete genome"
ON873782,Echovirus E33,NA,"Wang,W., Fan,H., Zhou,S., Li,S., Nigedeli,A., Zhang,Y., Sun,Q., He,Y., Guo,Q., Wang,X., Lu,H., Xiao,J., Zhao,H., Han,Z., Ji,T., Zhang,L., Yan,D.","Chinese Center for Disease Control and Prevention, Virus Disease Department",China,2023-01-15,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7393,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,oronasopharynx,2013-03-31,NA,NA,"Echovirus E33 strain 15089/JS/CHN/2015, complete genome"
ON873783,Echovirus E33,NA,"Wang,W., Fan,H., Zhou,S., Li,S., Nigedeli,A., Zhang,Y., Sun,Q., He,Y., Guo,Q., Wang,X., Lu,H., Xiao,J., Zhao,H., Han,Z., Ji,T., Zhang,L., Yan,D.","Chinese Center for Disease Control and Prevention, Virus Disease Department",China,2023-01-15,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7394,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,feces,2018-05-22,NA,NA,"Echovirus E33 strain 18113/XJ/CHN/2018, complete genome"
ON873784,Echovirus E33,NA,"Wang,W., Fan,H., Zhou,S., Li,S., Nigedeli,A., Zhang,Y., Sun,Q., He,Y., Guo,Q., Wang,X., Lu,H., Xiao,J., Zhao,H., Han,Z., Ji,T., Zhang,L., Yan,D.","Chinese Center for Disease Control and Prevention, Virus Disease Department",China,2023-01-15,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7392,GenBank,complete,NA,NA,1,China,China,NA,Homo sapiens,feces,2018-06-12,NA,NA,"Echovirus E33 strain 18115/XJ/CHN/2018, complete genome"
OM677620,Echovirus E30,NA,"Feng,W.","Wuxi CDC, Bacteriological Examination",China,2022-12-14,Echo30/Jiangsu/21/11/,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7425,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,NA,2021-11-20,NA,NA,"Echovirus E30 isolate Echo30/Jiangsu/21/11/, complete genome"
OM417123,Coxsackievirus B1,NA,"Prasertsopon,J., Sangsiriwut,K., Noisumdaeng,P., Buathong,R., Puthavathana,P.","Thammasat University, Faculty of Public Health",Thailand,2022-12-07,CVB1/SiICRC01/TH/2012,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7269,GenBank,partial,B1,NA,NA,Thailand,Thailand,NA,Homo sapiens,oronasopharynx,2012-08-08,NA,NA,"Coxsackievirus B1 isolate CVB1/SiICRC01/TH/2012 polyprotein gene, complete cds"
OM417124,Coxsackievirus B4,NA,"Prasertsopon,J., Sangsiriwut,K., Noisumdaeng,P., Buathong,R., Puthavathana,P.","Thammasat University, Faculty of Public Health",Thailand,2022-12-07,CVB4/SiICRC01/TH/2013,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7343,GenBank,partial,B4,NA,NA,Thailand,Thailand,NA,Homo sapiens,feces,2013-02-05,NA,NA,"Coxsackievirus B4 isolate CVB4/SiICRC01/TH/2013 polyprotein gene, complete cds"
OM417125,Coxsackievirus B5,NA,"Prasertsopon,J., Sangsiriwut,K., Noisumdaeng,P., Mungaomklang,A., Puthavathana,P.","Thammasat University, Faculty of Public Health",Thailand,2022-12-07,CVB5/SiICRC19/TH/2011,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7297,GenBank,partial,B5,NA,NA,Thailand,Thailand,NA,Homo sapiens,feces,2011-08-14,NA,NA,"Coxsackievirus B5 isolate CVB5/SiICRC19/TH/2011 polyprotein gene, complete cds"
OM417126,Coxsackievirus B5,NA,"Sangsiriwut,K., Noisumdaeng,P., Prasertsopon,J., Mungaomklang,A., Puthavathana,P.","Thammasat University, Faculty of Public Health",Thailand,2022-12-07,CVB5/SiICRC20/TH/2011,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7277,GenBank,partial,B5,NA,NA,Thailand,Thailand,NA,Homo sapiens,feces,2011-08-14,NA,NA,"Coxsackievirus B5 isolate CVB5/SiICRC20/TH/2011 polyprotein gene, complete cds"
OM417127,Coxsackievirus B5,NA,"Sangsiriwut,K., Noisumdaeng,P., Prasertsopon,J., Mungaomklang,A., Puthavathana,P.","Thammasat University, Faculty of Public Health",Thailand,2022-12-07,CVB5/SiICRC21/TH/2011,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7329,GenBank,partial,B5,NA,NA,Thailand,Thailand,NA,Homo sapiens,feces,2011-08-09,NA,NA,"Coxsackievirus B5 isolate CVB5/SiICRC21/TH/2011 polyprotein gene, complete cds"
